Year,G,G,Coach,Offense,Defense,Team
1988,16,2.0,Mike Ditka,Ed Hughes,Vince Tobin,Chicago Bears
1987,15,1.0,Mike Ditka,Ed Hughes,Vince Tobin,Chicago Bears
1986,16,1.0,Mike Ditka,Ed Hughes,Vince Tobin,Chicago Bears
1985,16,3.0,Mike Ditka,Ed Hughes,Buddy Ryan,Chicago Bears
1984,16,2.0,Mike Ditka,Ed Hughes,Buddy Ryan,Chicago Bears
1983,16,0.0,Mike Ditka,Ed Hughes,Buddy Ryan,Chicago Bears
1982,9,0.0,Mike Ditka,Ed Hughes,Buddy Ryan,Chicago Bears
1981,16,0.0,Neill Armstrong,Ted Marchibroda,Buddy Ryan,Chicago Bears
1980,16,0.0,Neill Armstrong,Ken Meyer,Buddy Ryan,Chicago Bears
1979,16,1.0,Neill Armstrong,Ken Meyer,Buddy Ryan,Chicago Bears
1978,16,0.0,Neill Armstrong,Ken Meyer,Buddy Ryan,Chicago Bears
1977,14,1.0,Jack Pardee,Sid Gillman,,Chicago Bears
1976,14,0.0,Jack Pardee,,,Chicago Bears
1975,14,0.0,Jack Pardee,,,Chicago Bears
1974,14,0.0,Abe Gibron,,,Chicago Bears
1973,14,0.0,Abe Gibron,,,Chicago Bears
1972,14,0.0,Abe Gibron,,,Chicago Bears
1971,14,0.0,Jim Dooley,Perry Moss,,Chicago Bears
1970,14,0.0,Jim Dooley,Perry Moss,,Chicago Bears
1969,14,0.0,Jim Dooley,,,Chicago Bears
1968,14,0.0,Jim Dooley,,,Chicago Bears
1967,14,0.0,George Halas,,Jim Dooley,Chicago Bears
1966,14,0.0,George Halas,,Jim Dooley,Chicago Bears
1965,14,0.0,George Halas,,George Allen,Chicago Bears
1964,14,0.0,George Halas,,George Allen,Chicago Bears
1963,14,1.0,George Halas,,,Chicago Bears
1962,14,0.0,George Halas,,Clark Shaughnessy,Chicago Bears
1961,14,0.0,George Halas,,Clark Shaughnessy,Chicago Bears
1960,12,0.0,George Halas,,Clark Shaughnessy,Chicago Bears
1959,12,0.0,George Halas,,Clark Shaughnessy,Chicago Bears
1958,12,0.0,George Halas,,,Chicago Bears
1957,12,0.0,Paddy Driscoll,,,Chicago Bears
1956,12,1.0,Paddy Driscoll,,,Chicago Bears
1955,12,0.0,George Halas,,,Chicago Bears
1954,12,0.0,George Halas,,,Chicago Bears
1953,12,0.0,George Halas,,,Chicago Bears
1952,12,0.0,George Halas,,,Chicago Bears
1951,12,0.0,George Halas,,,Chicago Bears
1950,12,1.0,George Halas,,,Chicago Bears
1949,12,0.0,George Halas,,,Chicago Bears
1948,12,0.0,George Halas,,,Chicago Bears
1947,12,0.0,George Halas,,,Chicago Bears
1946,11,1.0,George Halas,,,Chicago Bears
1945,10,0.0,Hunk Anderson,,,Chicago Bears
1945,10,0.0,Luke Johnsos,,,Chicago Bears
1944,10,0.0,Hunk Anderson,,,Chicago Bears
1944,10,0.0,Luke Johnsos,,,Chicago Bears
1943,10,1.0,Hunk Anderson,,,Chicago Bears
1943,10,1.0,Luke Johnsos,,,Chicago Bears
1942,6,1.0,Hunk Anderson,,,Chicago Bears
1942,6,1.0,Luke Johnsos,,,Chicago Bears
1942,5,0.0,George Halas,,,Chicago Bears
1941,11,2.0,George Halas,,,Chicago Bears
1940,11,1.0,George Halas,,,Chicago Bears
1939,11,0.0,George Halas,,,Chicago Bears
1938,11,0.0,George Halas,,,Chicago Bears
1937,11,1.0,George Halas,,,Chicago Bears
1936,12,0.0,George Halas,,,Chicago Bears
1935,12,0.0,George Halas,,,Chicago Bears
1934,13,1.0,George Halas,,,Chicago Bears
1933,13,1.0,George Halas,,,Chicago Bears
1932,14,0.0,Ralph Jones,,,Chicago Bears
1931,13,0.0,Ralph Jones,,,Chicago Bears
1930,14,0.0,Ralph Jones,,,Chicago Bears
1929,15,0.0,George Halas,,,Chicago Bears
1928,13,0.0,George Halas,,,Chicago Bears
1927,14,0.0,George Halas,,,Chicago Bears
1926,16,0.0,George Halas,,,Chicago Bears
1925,17,0.0,George Halas,,,Chicago Bears
1924,11,0.0,George Halas,,,Chicago Bears
1923,12,0.0,George Halas,,,Chicago Bears
1922,12,0.0,George Halas,,,Chicago Bears
1921,11,0.0,George Halas,,,Chicago Bears
1920,13,0.0,George Halas,,,Chicago Bears
2025,7,,Zac Taylor,Dan Pitcher,Al Golden,Cincinnati Bengals
2024,17,,Zac Taylor,Dan Pitcher,Lou Anarumo,Cincinnati Bengals
2023,17,,Zac Taylor,Brian Callahan,Lou Anarumo,Cincinnati Bengals
2022,16,3.0,Zac Taylor,Brian Callahan,Lou Anarumo,Cincinnati Bengals
2021,17,4.0,Zac Taylor,Brian Callahan,Lou Anarumo,Cincinnati Bengals
2020,16,,Zac Taylor,Brian Callahan,Lou Anarumo,Cincinnati Bengals
2019,16,,Zac Taylor,Brian Callahan,Lou Anarumo,Cincinnati Bengals
2018,16,,Marvin Lewis,Bill Lazor,Teryl Austin,Cincinnati Bengals
2017,16,,Marvin Lewis,"Bill Lazor, Ken Zampese",Paul Guenther,Cincinnati Bengals
2016,16,,Marvin Lewis,Ken Zampese,Paul Guenther,Cincinnati Bengals
2015,16,1.0,Marvin Lewis,Hue Jackson,Paul Guenther,Cincinnati Bengals
2014,16,1.0,Marvin Lewis,Hue Jackson,Paul Guenther,Cincinnati Bengals
2013,16,1.0,Marvin Lewis,Jay Gruden,Mike Zimmer,Cincinnati Bengals
2012,16,1.0,Marvin Lewis,Jay Gruden,Mike Zimmer,Cincinnati Bengals
2011,16,1.0,Marvin Lewis,Jay Gruden,Mike Zimmer,Cincinnati Bengals
2010,16,0.0,Marvin Lewis,Bob Bratkowski,Mike Zimmer,Cincinnati Bengals
2009,16,1.0,Marvin Lewis,Bob Bratkowski,Mike Zimmer,Cincinnati Bengals
2008,16,0.0,Marvin Lewis,Bob Bratkowski,Mike Zimmer,Cincinnati Bengals
2007,16,0.0,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan,Cincinnati Bengals
2006,16,0.0,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan,Cincinnati Bengals
2005,16,1.0,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan,Cincinnati Bengals
2004,16,0.0,Marvin Lewis,Bob Bratkowski,Leslie Frazier,Cincinnati Bengals
2003,16,0.0,Marvin Lewis,Bob Bratkowski,Leslie Frazier,Cincinnati Bengals
2002,16,0.0,Dick LeBeau,Bob Bratkowski,Mark Duffner,Cincinnati Bengals
2001,16,0.0,Dick LeBeau,Bob Bratkowski,Mark Duffner,Cincinnati Bengals
2000,13,0.0,Dick LeBeau,Ken Anderson,,Cincinnati Bengals
2000,3,0.0,Bruce Coslet,Ken Anderson,Dick LeBeau,Cincinnati Bengals
1999,16,0.0,Bruce Coslet,Ken Anderson,Dick LeBeau,Cincinnati Bengals
1998,16,0.0,Bruce Coslet,Ken Anderson,Dick LeBeau,Cincinnati Bengals
1997,16,0.0,Bruce Coslet,Ken Anderson,Dick LeBeau,Cincinnati Bengals
1996,9,0.0,Bruce Coslet,Ken Anderson,Larry Peccatiello,Cincinnati Bengals
1996,7,0.0,David Shula,"Ken Anderson, Bruce Coslet",Larry Peccatiello,Cincinnati Bengals
1995,16,0.0,David Shula,Bruce Coslet,Larry Peccatiello,Cincinnati Bengals
1994,16,0.0,David Shula,Bruce Coslet,Larry Peccatiello,Cincinnati Bengals
1993,16,0.0,David Shula,Mike Pope,Ron Lynn,Cincinnati Bengals
1992,16,0.0,David Shula,,Ron Lynn,Cincinnati Bengals
1991,16,0.0,Sam Wyche,,Dick LeBeau,Cincinnati Bengals
1990,16,2.0,Sam Wyche,,Dick LeBeau,Cincinnati Bengals
1989,16,0.0,Sam Wyche,Bruce Coslet,Dick LeBeau,Cincinnati Bengals
1988,16,3.0,Sam Wyche,Bruce Coslet,Dick LeBeau,Cincinnati Bengals
1987,15,0.0,Sam Wyche,Bruce Coslet,Dick LeBeau,Cincinnati Bengals
1986,16,0.0,Sam Wyche,Bruce Coslet,Dick LeBeau,Cincinnati Bengals
1985,16,0.0,Sam Wyche,,Dick LeBeau,Cincinnati Bengals
1984,16,0.0,Sam Wyche,,Dick LeBeau,Cincinnati Bengals
1983,16,0.0,Forrest Gregg,,Hank Bullough,Cincinnati Bengals
1982,9,1.0,Forrest Gregg,Lindy Infante,Hank Bullough,Cincinnati Bengals
1981,16,3.0,Forrest Gregg,Lindy Infante,Hank Bullough,Cincinnati Bengals
1980,16,0.0,Forrest Gregg,,Hank Bullough,Cincinnati Bengals
1979,16,0.0,Homer Rice,,Howard Brinker,Cincinnati Bengals
1978,11,0.0,Homer Rice,,Howard Brinker,Cincinnati Bengals
1978,5,0.0,Bill Johnson,,Howard Brinker,Cincinnati Bengals
1977,14,0.0,Bill Johnson,,Howard Brinker,Cincinnati Bengals
1976,14,0.0,Bill Johnson,,Howard Brinker,Cincinnati Bengals
1975,14,1.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1974,14,0.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1973,14,1.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1972,14,0.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1971,14,0.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1970,14,1.0,Paul Brown,,Chuck Weber,Cincinnati Bengals
1969,14,0.0,Paul Brown,,Tom Bass,Cincinnati Bengals
1968,14,0.0,Paul Brown,,,Cincinnati Bengals
2025,7,,Kevin Stefanski,Tommy Rees,Jim Schwartz,Cleveland Browns
2024,17,,Kevin Stefanski,Ken Dorsey,Jim Schwartz,Cleveland Browns
2023,17,1.0,Kevin Stefanski,Alex Van Pelt,Jim Schwartz,Cleveland Browns
2022,17,,Kevin Stefanski,Alex Van Pelt,Joe Woods,Cleveland Browns
2021,17,,Kevin Stefanski,Alex Van Pelt,Joe Woods,Cleveland Browns
2020,16,2.0,Kevin Stefanski,Alex Van Pelt,Joe Woods,Cleveland Browns
2019,16,,Freddie Kitchens,Todd Monken,Steve Wilks,Cleveland Browns
2018,8,,Gregg Williams,"Todd Haley, Freddie Kitchens",,Cleveland Browns
2018,8,,Hue Jackson,"Todd Haley, Freddie Kitchens",Gregg Williams,Cleveland Browns
2017,16,,Hue Jackson,,Gregg Williams,Cleveland Browns
2016,16,,Hue Jackson,,Ray Horton,Cleveland Browns
2015,16,,Mike Pettine,John DeFilippo,Jim O'Neil,Cleveland Browns
2014,16,0.0,Mike Pettine,Kyle Shanahan,Jim O'Neil,Cleveland Browns
2013,16,0.0,Rob Chudzinski,Norv Turner,Ray Horton,Cleveland Browns
2012,16,0.0,Pat Shurmur,Brad Childress,Dick Jauron,Cleveland Browns
2011,16,0.0,Pat Shurmur,,Dick Jauron,Cleveland Browns
2010,16,0.0,Eric Mangini,Brian Daboll,Rob Ryan,Cleveland Browns
2009,16,0.0,Eric Mangini,Brian Daboll,Rob Ryan,Cleveland Browns
2008,16,0.0,Romeo Crennel,Rob Chudzinski,Mel Tucker,Cleveland Browns
2007,16,0.0,Romeo Crennel,Rob Chudzinski,Todd Grantham,Cleveland Browns
2006,16,0.0,Romeo Crennel,"Maurice Carthon, Jeff Davidson",Todd Grantham,Cleveland Browns
2005,16,0.0,Romeo Crennel,Maurice Carthon,Todd Grantham,Cleveland Browns
2004,5,0.0,Terry Robiskie,Rob Chudzinski,Dave Campo,Cleveland Browns
2004,11,0.0,Butch Davis,"Rob Chudzinski, Terry Robiskie",Dave Campo,Cleveland Browns
2003,16,0.0,Butch Davis,Bruce Arians,Dave Campo,Cleveland Browns
2002,16,1.0,Butch Davis,Bruce Arians,Foge Fazio,Cleveland Browns
2001,16,0.0,Butch Davis,Bruce Arians,Foge Fazio,Cleveland Browns
2000,16,0.0,Chris Palmer,Pete Carmichael,Romeo Crennel,Cleveland Browns
1999,16,0.0,Chris Palmer,,Bob Slowik,Cleveland Browns
1995,16,0.0,Bill Belichick,Steve Crosby,Rick Venturi,Cleveland Browns
1994,16,2.0,Bill Belichick,Steve Crosby,Nick Saban,Cleveland Browns
1993,16,0.0,Bill Belichick,,Nick Saban,Cleveland Browns
1992,16,0.0,Bill Belichick,,Nick Saban,Cleveland Browns
1991,16,0.0,Bill Belichick,,Nick Saban,Cleveland Browns
1990,7,0.0,Jim Shofner,,Jim Vechiarella,Cleveland Browns
1990,9,0.0,Bud Carson,Jim Shofner,Jim Vechiarella,Cleveland Browns
1989,16,2.0,Bud Carson,Marc Trestman,Dan Radakovich,Cleveland Browns
1988,16,1.0,Marty Schottenheimer,,Dave Adolph,Cleveland Browns
1987,15,2.0,Marty Schottenheimer,Lindy Infante,Dave Adolph,Cleveland Browns
1986,16,2.0,Marty Schottenheimer,Lindy Infante,Dave Adolph,Cleveland Browns
1985,16,1.0,Marty Schottenheimer,Joe Pendry,Tom Bettis,Cleveland Browns
1984,8,0.0,Marty Schottenheimer,Joe Scannella,,Cleveland Browns
1984,8,0.0,Sam Rutigliano,Joe Scannella,Marty Schottenheimer,Cleveland Browns
1983,16,0.0,Sam Rutigliano,Larrye Weaver,Marty Schottenheimer,Cleveland Browns
1982,9,1.0,Sam Rutigliano,,Marty Schottenheimer,Cleveland Browns
1981,16,0.0,Sam Rutigliano,,Marty Schottenheimer,Cleveland Browns
1980,16,1.0,Sam Rutigliano,,Marty Schottenheimer,Cleveland Browns
1979,16,0.0,Sam Rutigliano,,,Cleveland Browns
1978,16,0.0,Sam Rutigliano,,,Cleveland Browns
1977,1,0.0,Dick Modzelewski,,,Cleveland Browns
1977,13,0.0,Forrest Gregg,,Dick Modzelewski,Cleveland Browns
1976,14,0.0,Forrest Gregg,,Dick Modzelewski,Cleveland Browns
1975,14,0.0,Forrest Gregg,,Richie McCabe,Cleveland Browns
1974,14,0.0,Nick Skorich,Dick Wood,Richie McCabe,Cleveland Browns
1973,14,0.0,Nick Skorich,,Howard Brinker,Cleveland Browns
1972,14,1.0,Nick Skorich,Ray Prochaska,Howard Brinker,Cleveland Browns
1971,14,1.0,Nick Skorich,Ray Prochaska,Howard Brinker,Cleveland Browns
1970,14,0.0,Blanton Collier,Nick Skorich,Howard Brinker,Cleveland Browns
1969,14,2.0,Blanton Collier,Nick Skorich,Howard Brinker,Cleveland Browns
1968,14,2.0,Blanton Collier,Nick Skorich,Howard Brinker,Cleveland Browns
1967,14,1.0,Blanton Collier,,Howard Brinker,Cleveland Browns
1966,14,0.0,Blanton Collier,,Howard Brinker,Cleveland Browns
1965,14,1.0,Blanton Collier,,Howard Brinker,Cleveland Browns
1964,14,1.0,Blanton Collier,,Howard Brinker,Cleveland Browns
1963,14,0.0,Blanton Collier,,,Cleveland Browns
1962,14,0.0,Paul Brown,,,Cleveland Browns
1961,14,0.0,Paul Brown,,,Cleveland Browns
1960,12,0.0,Paul Brown,,,Cleveland Browns
1959,12,0.0,Paul Brown,,,Cleveland Browns
1958,12,1.0,Paul Brown,,,Cleveland Browns
1957,12,1.0,Paul Brown,,,Cleveland Browns
1956,12,0.0,Paul Brown,,,Cleveland Browns
1955,12,1.0,Paul Brown,,,Cleveland Browns
1954,12,1.0,Paul Brown,,,Cleveland Browns
1953,12,1.0,Paul Brown,,,Cleveland Browns
1952,12,1.0,Paul Brown,,,Cleveland Browns
1951,12,1.0,Paul Brown,,,Cleveland Browns
1950,12,2.0,Paul Brown,,,Cleveland Browns
1949,12,2.0,Paul Brown,,,Cleveland Browns
1948,14,1.0,Paul Brown,,,Cleveland Browns
1947,14,1.0,Paul Brown,,,Cleveland Browns
1946,14,1.0,Paul Brown,,,Cleveland Browns
2025,7,,Brian Schottenheimer,Klayton Adams,Matt Eberflus,Dallas Cowboys
2024,17,,Mike McCarthy,Brian Schottenheimer,Mike Zimmer,Dallas Cowboys
2023,17,1.0,Mike McCarthy,Brian Schottenheimer,Dan Quinn,Dallas Cowboys
2022,17,2.0,Mike McCarthy,Kellen Moore,Dan Quinn,Dallas Cowboys
2021,17,1.0,Mike McCarthy,Kellen Moore,Dan Quinn,Dallas Cowboys
2020,16,,Mike McCarthy,Kellen Moore,Mike Nolan,Dallas Cowboys
2019,16,,Jason Garrett,Kellen Moore,Rod Marinelli,Dallas Cowboys
2018,16,2.0,Jason Garrett,Scott Linehan,Rod Marinelli,Dallas Cowboys
2017,16,,Jason Garrett,Scott Linehan,Rod Marinelli,Dallas Cowboys
2016,16,1.0,Jason Garrett,Scott Linehan,Rod Marinelli,Dallas Cowboys
2015,16,,Jason Garrett,Scott Linehan,Rod Marinelli,Dallas Cowboys
2014,16,2.0,Jason Garrett,Bill Callahan,Rod Marinelli,Dallas Cowboys
2013,16,0.0,Jason Garrett,Bill Callahan,Monte Kiffin,Dallas Cowboys
2012,16,0.0,Jason Garrett,Bill Callahan,Rob Ryan,Dallas Cowboys
2011,16,0.0,Jason Garrett,,Rob Ryan,Dallas Cowboys
2010,8,0.0,Jason Garrett,,Paul Pasqualoni,Dallas Cowboys
2010,8,0.0,Wade Phillips,Jason Garrett,Paul Pasqualoni,Dallas Cowboys
2009,16,2.0,Wade Phillips,Jason Garrett,,Dallas Cowboys
2008,16,0.0,Wade Phillips,Jason Garrett,Brian Stewart,Dallas Cowboys
2007,16,1.0,Wade Phillips,Jason Garrett,Brian Stewart,Dallas Cowboys
2006,16,1.0,Bill Parcells,,Mike Zimmer,Dallas Cowboys
2005,16,0.0,Bill Parcells,,Mike Zimmer,Dallas Cowboys
2004,16,0.0,Bill Parcells,Maurice Carthon,Mike Zimmer,Dallas Cowboys
2003,16,1.0,Bill Parcells,Maurice Carthon,Mike Zimmer,Dallas Cowboys
2002,16,0.0,Dave Campo,Bruce Coslet,Mike Zimmer,Dallas Cowboys
2001,16,0.0,Dave Campo,Jack Reilly,Mike Zimmer,Dallas Cowboys
2000,16,0.0,Dave Campo,Jack Reilly,Mike Zimmer,Dallas Cowboys
1999,16,1.0,Chan Gailey,,Dave Campo,Dallas Cowboys
1998,16,1.0,Chan Gailey,,Dave Campo,Dallas Cowboys
1997,16,0.0,Barry Switzer,Ernie Zampese,Dave Campo,Dallas Cowboys
1996,16,2.0,Barry Switzer,Ernie Zampese,Dave Campo,Dallas Cowboys
1995,16,3.0,Barry Switzer,Ernie Zampese,Dave Campo,Dallas Cowboys
1994,16,2.0,Barry Switzer,Ernie Zampese,Butch Davis,Dallas Cowboys
1993,16,3.0,Jimmy Johnson,Norv Turner,Butch Davis,Dallas Cowboys
1992,16,3.0,Jimmy Johnson,Norv Turner,Dave Wannstedt,Dallas Cowboys
1991,16,2.0,Jimmy Johnson,Norv Turner,Dave Wannstedt,Dallas Cowboys
1990,16,0.0,Jimmy Johnson,David Shula,Dave Wannstedt,Dallas Cowboys
1989,16,0.0,Jimmy Johnson,David Shula,Dave Wannstedt,Dallas Cowboys
1988,16,0.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1987,15,0.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1986,16,0.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1985,16,1.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1984,16,0.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1983,16,1.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1982,9,3.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1981,16,2.0,Tom Landry,,Ernie Stautner,Dallas Cowboys
1980,16,3.0,Tom Landry,Dan Reeves,Ernie Stautner,Dallas Cowboys
1979,16,1.0,Tom Landry,Dan Reeves,Ernie Stautner,Dallas Cowboys
1978,16,3.0,Tom Landry,Dan Reeves,Ernie Stautner,Dallas Cowboys
1977,14,3.0,Tom Landry,Dan Reeves,Ernie Stautner,Dallas Cowboys
1976,14,1.0,Tom Landry,Jim Myers,Ernie Stautner,Dallas Cowboys
1975,14,3.0,Tom Landry,Jim Myers,Ernie Stautner,Dallas Cowboys
1974,14,0.0,Tom Landry,Jim Myers,Ernie Stautner,Dallas Cowboys
1973,14,2.0,Tom Landry,Jim Myers,Ernie Stautner,Dallas Cowboys
1972,14,2.0,Tom Landry,Jim Myers,,Dallas Cowboys
1971,14,3.0,Tom Landry,Jim Myers,,Dallas Cowboys
1970,14,3.0,Tom Landry,Jim Myers,,Dallas Cowboys
1969,14,1.0,Tom Landry,,,Dallas Cowboys
1968,14,1.0,Tom Landry,,,Dallas Cowboys
1967,14,2.0,Tom Landry,,Dick Nolan,Dallas Cowboys
1966,14,1.0,Tom Landry,,Dick Nolan,Dallas Cowboys
1965,14,0.0,Tom Landry,,,Dallas Cowboys
1964,14,0.0,Tom Landry,,,Dallas Cowboys
1963,14,0.0,Tom Landry,,,Dallas Cowboys
1962,14,0.0,Tom Landry,,,Dallas Cowboys
1961,14,0.0,Tom Landry,,,Dallas Cowboys
1960,12,0.0,Tom Landry,,,Dallas Cowboys
2025,7,,Sean Payton,Joe Lombardi,Vance Joseph,Denver Broncos
2024,17,1.0,Sean Payton,Joe Lombardi,Vance Joseph,Denver Broncos
2023,17,,Sean Payton,Joe Lombardi,Vance Joseph,Denver Broncos
2022,2,,Jerry Rosburg,Justin Outten,Ejiro Evero,Denver Broncos
2022,15,,Nathaniel Hackett,Justin Outten,Ejiro Evero,Denver Broncos
2021,17,,Vic Fangio,Pat Shurmur,Ed Donatell,Denver Broncos
2020,16,,Vic Fangio,Pat Shurmur,Ed Donatell,Denver Broncos
2019,16,,Vic Fangio,Rich Scangarello,Ed Donatell,Denver Broncos
2018,16,,Vance Joseph,Bill Musgrave,Joe Woods,Denver Broncos
2017,16,,Vance Joseph,"Mike McCoy, Bill Musgrave",Joe Woods,Denver Broncos
2016,16,,Gary Kubiak,Rick Dennison,Wade Phillips,Denver Broncos
2015,16,3.0,Gary Kubiak,Rick Dennison,Wade Phillips,Denver Broncos
2014,16,1.0,John Fox,Adam Gase,Jack Del Rio,Denver Broncos
2013,16,3.0,John Fox,Adam Gase,Jack Del Rio,Denver Broncos
2012,16,1.0,John Fox,Mike McCoy,Jack Del Rio,Denver Broncos
2011,16,2.0,John Fox,Mike McCoy,Dennis Allen,Denver Broncos
2010,4,0.0,Eric Studesville,Mike McCoy,Don Martindale,Denver Broncos
2010,12,0.0,Josh McDaniels,Mike McCoy,Don Martindale,Denver Broncos
2009,16,0.0,Josh McDaniels,Mike McCoy,Mike Nolan,Denver Broncos
2008,16,0.0,Mike Shanahan,Rick Dennison,Bob Slowik,Denver Broncos
2007,16,0.0,Mike Shanahan,Rick Dennison,Bob Slowik,Denver Broncos
2006,16,0.0,Mike Shanahan,Rick Dennison,Larry Coyer,Denver Broncos
2005,16,2.0,Mike Shanahan,Gary Kubiak,Larry Coyer,Denver Broncos
2004,16,1.0,Mike Shanahan,Gary Kubiak,Larry Coyer,Denver Broncos
2003,16,1.0,Mike Shanahan,Gary Kubiak,Larry Coyer,Denver Broncos
2002,16,0.0,Mike Shanahan,Gary Kubiak,Ray Rhodes,Denver Broncos
2001,16,0.0,Mike Shanahan,Gary Kubiak,Ray Rhodes,Denver Broncos
2000,16,1.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1999,16,0.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1998,16,3.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1997,16,4.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1996,16,1.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1995,16,0.0,Mike Shanahan,Gary Kubiak,Greg Robinson,Denver Broncos
1994,16,0.0,Wade Phillips,Jim Fassel,Charlie Waters,Denver Broncos
1993,16,1.0,Wade Phillips,Jim Fassel,Charlie Waters,Denver Broncos
1992,16,0.0,Dan Reeves,George Henshaw,Wade Phillips,Denver Broncos
1991,16,2.0,Dan Reeves,Mike Shanahan,Wade Phillips,Denver Broncos
1990,16,0.0,Dan Reeves,Chan Gailey,Wade Phillips,Denver Broncos
1989,16,3.0,Dan Reeves,Chan Gailey,Wade Phillips,Denver Broncos
1988,16,0.0,Dan Reeves,,Joe Collier,Denver Broncos
1987,15,3.0,Dan Reeves,Mike Shanahan,Joe Collier,Denver Broncos
1986,16,3.0,Dan Reeves,Mike Shanahan,Joe Collier,Denver Broncos
1985,16,0.0,Dan Reeves,Mike Shanahan,Joe Collier,Denver Broncos
1984,16,1.0,Dan Reeves,,Joe Collier,Denver Broncos
1983,16,1.0,Dan Reeves,John Hadl,Joe Collier,Denver Broncos
1982,9,0.0,Dan Reeves,Rod Dowhower,Joe Collier,Denver Broncos
1981,16,0.0,Dan Reeves,Rod Dowhower,Joe Collier,Denver Broncos
1980,16,0.0,Red Miller,Rod Dowhower,Joe Collier,Denver Broncos
1979,16,1.0,Red Miller,,Joe Collier,Denver Broncos
1978,16,1.0,Red Miller,,Joe Collier,Denver Broncos
1977,14,3.0,Red Miller,,Joe Collier,Denver Broncos
1976,14,0.0,John Ralston,Max Coley,Joe Collier,Denver Broncos
1975,14,0.0,John Ralston,Max Coley,Joe Collier,Denver Broncos
1974,14,0.0,John Ralston,Max Coley,Joe Collier,Denver Broncos
1973,14,0.0,John Ralston,Max Coley,Joe Collier,Denver Broncos
1972,14,0.0,John Ralston,Max Coley,Joe Collier,Denver Broncos
1971,5,0.0,Jerry Smith,,,Denver Broncos
1971,9,0.0,Lou Saban,,,Denver Broncos
1970,14,0.0,Lou Saban,,,Denver Broncos
1969,14,0.0,Lou Saban,,,Denver Broncos
1968,14,0.0,Lou Saban,,,Denver Broncos
1967,14,0.0,Lou Saban,,,Denver Broncos
1966,12,0.0,Ray Malavasi,,,Denver Broncos
1966,2,0.0,Mac Speedie,,,Denver Broncos
1965,14,0.0,Mac Speedie,,,Denver Broncos
1964,10,0.0,Mac Speedie,,,Denver Broncos
1964,4,0.0,Jack Faulkner,,,Denver Broncos
1963,14,0.0,Jack Faulkner,,,Denver Broncos
1962,14,0.0,Jack Faulkner,,,Denver Broncos
1961,14,0.0,Frank Filchock,,,Denver Broncos
1960,14,0.0,Frank Filchock,,,Denver Broncos
2025,7,,Dan Campbell,John Morton,Kelvin Sheppard,Detroit Lions
2024,17,1.0,Dan Campbell,Ben Johnson,Aaron Glenn,Detroit Lions
2023,17,3.0,Dan Campbell,Ben Johnson,Aaron Glenn,Detroit Lions
2022,17,,Dan Campbell,Ben Johnson,Aaron Glenn,Detroit Lions
2021,17,,Dan Campbell,Anthony Lynn,Aaron Glenn,Detroit Lions
2020,5,,Darrell Bevell,,Cory Undlin,Detroit Lions
2020,11,,Matt Patricia,Darrell Bevell,Cory Undlin,Detroit Lions
2019,16,,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Detroit Lions
2018,16,,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Detroit Lions
2017,16,,Jim Caldwell,Jim Bob Cooter,Teryl Austin,Detroit Lions
2016,16,1.0,Jim Caldwell,Jim Bob Cooter,Teryl Austin,Detroit Lions
2015,16,,Jim Caldwell,"Jim Bob Cooter, Joe Lombardi",Teryl Austin,Detroit Lions
2014,16,1.0,Jim Caldwell,Joe Lombardi,Teryl Austin,Detroit Lions
2013,16,0.0,Jim Schwartz,Scott Linehan,Gunther Cunningham,Detroit Lions
2012,16,0.0,Jim Schwartz,Scott Linehan,Gunther Cunningham,Detroit Lions
2011,16,1.0,Jim Schwartz,Scott Linehan,Gunther Cunningham,Detroit Lions
2010,16,0.0,Jim Schwartz,Scott Linehan,Gunther Cunningham,Detroit Lions
2009,16,0.0,Jim Schwartz,Scott Linehan,Gunther Cunningham,Detroit Lions
2008,16,0.0,Rod Marinelli,Jim Colletto,Joe Barry,Detroit Lions
2007,16,0.0,Rod Marinelli,Mike Martz,Joe Barry,Detroit Lions
2006,16,0.0,Rod Marinelli,Mike Martz,Donnie Henderson,Detroit Lions
